artist,spotify_id
Пётр Ильич Чайковский,3MKCzCnpzw3TjUYs2v7vDA
Игорь Фёдорович Стравинский,7ie36YytMoKtPiL7tUvmoE
Сергей Сергеевич Прокофьев,4kHtgiRnpmFIV5Tm4BIs8l
Сергей Васильевич Рахманинов,0Kekt6CKSo0m5mivKcoH51
sonnov,4IkCc7GOwW71tpFVkAhmwC
Дмитрий Дмитриевич Шостакович,6s1pCNXcbdtQJlsnM1hRIA
Модест Петрович Мусоргский,284mnx33IWcymQEpMxyfHl
Александр Николаевич Скрябин,6nZiWg5ZB511S24WmB7TCV
Николай Андреевич Римский‐Корсаков,2kXJ68O899XvWOBdpzlXgs
Святослав Рихтер,4hBgCK8FyJ5bV36ZZLB56X
Senmuth,61Oq49nPScUCDWYAdAdgM1
Аквариум,3nAumcukmBxn8y7Su8RagW
Академический ансамбль песни и пляски Российской Армии имени А. В. Александрова,4yNluGAiPbYXLwlA9KspbG
Blank Embrace,3GCsrA9wcNYZd34vPZ5BN0
Гражданская оборона,7M6ERyNXeDalOonDdWWd6I
Алиса,5ggxe6RGD8zHfaCbwTdtw5
Александр Порфирьевич Бородин,34MYamymtmnsmpwbqydd7I
Александр Константинович Глазунов,78t7WfwhjZLkDHN5QKwS5u
Машина времени,3OCZhm9zNElyNJNrwG9pC4
Алла Пугачёва,7lyhSLlB5fWJmU5eB6k84L
Би-2,3SXDCIdqI1AR686ukKtKCq
Эдуард Артемьев,097u8n1F4JjTzmOR9VUVEK
t.A.T.u.,2Q3eZMfDQgT8MhPowKFXYO
Мумий Тролль,6rY1h3kpqbTquyR3qYWo08
Филипп Киркоров,3ANNnVJ7NCdIZV6P2YzvlI
Ленинград,2a3EJeQjcAelthFGr5bzQC
ДДТ,0YCqg8X5gx0MremW64Ud1h
Виктор Цой,4dngB44yGo3ErubxhE1bUW
Александр Розенбаум,6GO0U13OFE0XntmksjZ4PY
Noize MC,69v4ZOOomf1TNp59YYB1j7
Король и Шут,0qc4X567Fs1DUbQ7bS2XSJ
from tokyo to honolulu,593hETI5c2Yhcc0Tmdeq3z
Пикник,625pLI6ukICVgPMaZZ9QVX
Валерий Гергиев,2LxnoYPOe0FCLC82R3xgO2
Nautilus Pompilius,3tYzkTZtYt5dGBSrAnWpX0
Государственный академический симфонический оркестр России,1DMt4oqEDfdHBeoH3BD0bk
Слот,7KL1hFrC40EHZZt121PDV8
Чайф,2Ktp0aQBfLtTqUE1p3CwUr
Тараканы!,3OZMcYBFNSr0ztFd82aJK9
Григорий Лепс,2eLrVxwm6t4QeaORq5w8VW
Ночные Снайперы,2GUwb2rxMKePzxDi94EEoZ
Николай Карлович Метнер,1Ut6lBfgWMEoQZcHw0N6Ca
Евгений Фёдорович Светланов,1xfayCGnoPqO2Wh3Y27IgG
Калинов мост,0FljFr1aDZG9SOHl4UDExF
Messer Chups,756Li3sKcK4EdDiniLPqRl
Руки вверх!,0T6ncGHAiGQ4LhbiUJAasn
ARTY,1rSGNXhhYuWoq9BEz5DZGO
Михаил Иванович Глинка,1GEuHbNwTRj4QPyoythtBh
Любэ,4Z2QXZRqTdguBQrM8pr4eD
Валерия,3KYkCbCf8S3RDAtFoBT3qW
Валерий Леонтьев,5v3o1cxdSAATA5avCi1JA9
Кристина Орбакайте,4OirY5ecghWqzLcH0BI40o
Сектор Газа,7flDXGHrBtY2UNR9wyknKY
Земфира,6oO3QiWdVj5FZQwbdRtsRh
Мстислав Ростропович,50hiYMhi0g77BOkkQ4zebB
Eguana,2nYWhMzt3fDNNW0cwPIw7V
Шмели,4OXVjz9BARB2MwT6sdx8JE
Геннадий Николаевич Рождественский,7sjMk07ASNAAPVXoag7sGO
Дельфин,2pktDyTJxrLJo7dL2qT1pA
Булат Окуджава,0ZahzpqsK9YXqiThUYRcx5
Аркона,6AJ9HQ2Ptp1WWEfBFvR5fF
Валентина Толкунова,2YJ5x6mV8bxltvURCvFOkD
AstroPilot,2z658O7sY52T18CIOqUcws
Михаил Плетнёв,2YdRnOqBXCl9g8xCLcGh8C
Большой симфонический оркестр имени П. И. Чайковского,0QmRkzsD26NuUtPnEzlcaf
Антон Григорьевич Рубинштейн,01ngcjkCXOFGBB3UVG3saM
Distemper,73KPvw0VFDPbhS63pEqEXQ
Леонид Агутин,3OBELtlkijaKfWgw1JHryW
Ольга Арефьева и группа «Ковчег»,44UIUIvJMwH7jIsrFIPO7J
Heavenchord,0N1G1lizxkv4jmvMkg0n5X
Валерий Меладзе,2igtm1MhKEpmG3PzToJT40
Thomas de Hartmann,7jqkUMjqGY2FfZRUirtKdo
Сергей Лазарев,69GGH3fqk8waBkpDJ5C2mK
Николай Яковлевич Мясковский,07yD267mZTiHoptqdYd5mc
Линда,4Q72w3Y5FXJCzN5ehkoqLj
4 Позиции Бруно,3LYuTbSiiH7BQIejaszE18
Евгений Кисин,71kYWgqr6eHLOZj6u3JTuJ
София Асгатовна Губайдулина,2xcUqNAHTLVnHeK0YLA9IO
Андрей Макаревич,4vublvsxLvJXGY1lRXitR1
Mage,0q7PuJHIkWuHiHezAQFB6u
Татьяна Буланова,2Agn1HUbcTPcPHwy7WAfHs
Ногу свело!,6EwC0Bw0mA6AZPVnmT8xzf
SEREBRO,1Ulwacsns9Me7dz4OVwkiQ
Moonbeam,3QiHmFCzfmjt1XDPSdRh0D
Slim,0Etr2CvTxXjbeZ55CLmAF6
Ани Лорак,1J9vlx72A2T3kbRckBu04o
Animal ДжаZ,5qG2J0qnQEu26oybRztt0H
Константин Александрович Щербаков,6f4LXqcGifD364sFBKFfoN
Electrosoul System,0tSNYelLMRA52oDWmw5eU3
Антон Степанович Аренский,2DLKrW0pn180nOIjUWlTjm
Александр Маршал,3Jh8Cq8Y3fmEgmg6qfpSWH
П.Т.В.П.,3lWr0BTSW10qY5fajZjKSK
Анжелика Варум,0cdCzBqjiIW3YATUIWtMQM
Баста,7as5DY4Rz9jac9tgoTrj9H
Михаил Шуфутинский,3Ar1W7H096Z6qSGBMmwSmO
Free Flow Flava,7BvLgunXTcIAkE1uWNbbwQ
Егор Летов,6yzTAtRHzB5xxcV0z9Debk
